Year,City,Sport,Discipline,NOC,Event,Gender,Medal,Country,Latitude,Longitude
1924,Chamonix,Biathlon,Biathlon,SUI,military patrol,M,Gold,Switzerland,45.9231,6.8697
1924,Chamonix,Bobsleigh,Bobsleigh,SUI,four-man,M,Gold,Switzerland,45.9231,6.8697
1924,Chamonix,Skating,Figure skating,SUI,individual,M,Bronze,Switzerland,45.9231,6.8697
1924,Chamonix,Curling,Curling,SWE,curling,M,Silver,Sweden,45.9231,6.8697
1924,Chamonix,Skating,Figure skating,SWE,individual,M,Gold,Sweden,45.9231,6.8697
1924,Chamonix,Ice Hockey,Ice Hockey,USA,ice hockey,M,Silver,United States,45.9231,6.8697
1924,Chamonix,Skating,Figure skating,USA,individual,W,Silver,United States,45.9231,6.8697
1924,Chamonix,Skating,Speed skating,USA,500m,M,Gold,United States,45.9231,6.8697
1924,Chamonix,Skiing,Ski Jumping,USA,K90 individual (70m),M,Bronze,United States,45.9231,6.8697
1928,St. Moritz,Skating,Figure skating,AUT,individual,M,Silver,Austria,46.5,9.8333
1928,St. Moritz,Skating,Figure skating,AUT,individual,W,Silver,Austria,46.5,9.8333
1928,St. Moritz,Skating,Figure skating,AUT,pairs,X,Bronze,Austria,46.5,9.8333
1928,St. Moritz,Skating,Figure skating,AUT,pairs,X,Silver,Austria,46.5,9.8333
1928,St. Moritz,Skating,Figure skating,BEL,individual,M,Bronze,Belgium,46.5,9.8333
1928,St. Moritz,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Gold,Canada,46.5,9.8333
1928,St. Moritz,Skating,Speed skating,FIN,1500m,M,Gold,Finland,46.5,9.8333
1928,St. Moritz,Skating,Speed skating,FIN,5000m,M,Silver,Finland,46.5,9.8333
1928,St. Moritz,Skating,Speed skating,FIN,500m,M,Bronze,Finland,46.5,9.8333
1928,St. Moritz,Skating,Speed skating,FIN,500m,M,Gold,Finland,46.5,9.8333
1928,St. Moritz,Skating,Figure skating,FRA,pairs,X,Gold,France,46.5,9.8333
1928,St. Moritz,Bobsleigh,Skeleton,GBR,individual,M,Bronze,United Kingdom,46.5,9.8333
1928,St. Moritz,Bobsleigh,Bobsleigh,GER,five-man,M,Bronze,Germany,46.5,9.8333
1928,St. Moritz,Skating,Figure skating,NOR,individual,W,Gold,Norway,46.5,9.8333
1928,St. Moritz,Skating,Speed skating,NOR,1500m,M,Bronze,Norway,46.5,9.8333
1928,St. Moritz,Skating,Speed skating,NOR,1500m,M,Silver,Norway,46.5,9.8333
1928,St. Moritz,Skating,Speed skating,NOR,5000m,M,Bronze,Norway,46.5,9.8333
1928,St. Moritz,Skating,Speed skating,NOR,5000m,M,Gold,Norway,46.5,9.8333
1928,St. Moritz,Skating,Speed skating,NOR,500m,M,Bronze,Norway,46.5,9.8333
1928,St. Moritz,Skating,Speed skating,NOR,500m,M,Gold,Norway,46.5,9.8333
1928,St. Moritz,Skiing,Cross Country S,NOR,18km,M,Bronze,Norway,46.5,9.8333
1928,St. Moritz,Skiing,Cross Country S,NOR,18km,M,Gold,Norway,46.5,9.8333
1928,St. Moritz,Skiing,Cross Country S,NOR,18km,M,Silver,Norway,46.5,9.8333
1928,St. Moritz,Skiing,Nordic Combined,NOR,individual,M,Bronze,Norway,46.5,9.8333
1928,St. Moritz,Skiing,Nordic Combined,NOR,individual,M,Gold,Norway,46.5,9.8333
1928,St. Moritz,Skiing,Nordic Combined,NOR,individual,M,Silver,Norway,46.5,9.8333
1928,St. Moritz,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Gold,Norway,46.5,9.8333
1928,St. Moritz,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Silver,Norway,46.5,9.8333
1928,St. Moritz,Ice Hockey,Ice Hockey,SUI,ice hockey,M,Bronze,Switzerland,46.5,9.8333
1928,St. Moritz,Ice Hockey,Ice Hockey,SWE,ice hockey,M,Silver,Sweden,46.5,9.8333
1928,St. Moritz,Skating,Figure skating,SWE,individual,M,Gold,Sweden,46.5,9.8333
1928,St. Moritz,Skiing,Cross Country S,SWE,50km,M,Bronze,Sweden,46.5,9.8333
1928,St. Moritz,Skiing,Cross Country S,SWE,50km,M,Gold,Sweden,46.5,9.8333
1928,St. Moritz,Skiing,Cross Country S,SWE,50km,M,Silver,Sweden,46.5,9.8333
1928,St. Moritz,Skiing,Ski Jumping,TCH,K90 individual (70m),M,Bronze,Czechoslovakia,46.5,9.8333
1928,St. Moritz,Bobsleigh,Bobsleigh,USA,five-man,M,Gold,United States,46.5,9.8333
1928,St. Moritz,Bobsleigh,Bobsleigh,USA,five-man,M,Silver,United States,46.5,9.8333
1928,St. Moritz,Bobsleigh,Skeleton,USA,individual,M,Gold,United States,46.5,9.8333
1928,St. Moritz,Bobsleigh,Skeleton,USA,individual,M,Silver,United States,46.5,9.8333
1928,St. Moritz,Skating,Figure skating,USA,individual,W,Bronze,United States,46.5,9.8333
1928,St. Moritz,Skating,Speed skating,USA,500m,M,Bronze,United States,46.5,9.8333
1932,Lake Placid,Skating,Figure skating,AUT,individual,M,Gold,Austria,44.2856,-73.9833
1932,Lake Placid,Skating,Figure skating,AUT,individual,W,Silver,Austria,44.2856,-73.9833
1932,Lake Placid,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Gold,Canada,44.2856,-73.9833
1932,Lake Placid,Skating,Figure skating,CAN,individual,M,Bronze,Canada,44.2856,-73.9833
1932,Lake Placid,Skating,Speed skating,CAN,10000m,M,Bronze,Canada,44.2856,-73.9833
1932,Lake Placid,Skating,Speed skating,CAN,1500m,M,Bronze,Canada,44.2856,-73.9833
1932,Lake Placid,Skating,Speed skating,CAN,1500m,M,Silver,Canada,44.2856,-73.9833
1932,Lake Placid,Skating,Speed skating,CAN,5000m,M,Bronze,Canada,44.2856,-73.9833
1932,Lake Placid,Skating,Speed skating,CAN,500m,M,Bronze,Canada,44.2856,-73.9833
1932,Lake Placid,Skiing,Cross Country S,FIN,18km,M,Bronze,Finland,44.2856,-73.9833
1932,Lake Placid,Skiing,Cross Country S,FIN,50km,M,Gold,Finland,44.2856,-73.9833
1932,Lake Placid,Skiing,Cross Country S,FIN,50km,M,Silver,Finland,44.2856,-73.9833
1932,Lake Placid,Skating,Figure skating,FRA,pairs,X,Gold,France,44.2856,-73.9833
1932,Lake Placid,Bobsleigh,Bobsleigh,GER,four-man,M,Bronze,Germany,44.2856,-73.9833
1932,Lake Placid,Ice Hockey,Ice Hockey,GER,ice hockey,M,Bronze,Germany,44.2856,-73.9833
1932,Lake Placid,Skating,Figure skating,HUN,pairs,X,Bronze,Hungary,44.2856,-73.9833
1932,Lake Placid,Skating,Figure skating,NOR,individual,W,Gold,Norway,44.2856,-73.9833
1932,Lake Placid,Skating,Speed skating,NOR,10000m,M,Silver,Norway,44.2856,-73.9833
1932,Lake Placid,Skating,Speed skating,NOR,500m,M,Silver,Norway,44.2856,-73.9833
1932,Lake Placid,Skiing,Cross Country S,NOR,50km,M,Bronze,Norway,44.2856,-73.9833
1932,Lake Placid,Skiing,Nordic Combined,NOR,individual,M,Bronze,Norway,44.2856,-73.9833
1932,Lake Placid,Skiing,Nordic Combined,NOR,individual,M,Gold,Norway,44.2856,-73.9833
1932,Lake Placid,Skiing,Nordic Combined,NOR,individual,M,Silver,Norway,44.2856,-73.9833
1932,Lake Placid,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Bronze,Norway,44.2856,-73.9833
1932,Lake Placid,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Gold,Norway,44.2856,-73.9833
1932,Lake Placid,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Silver,Norway,44.2856,-73.9833
1932,Lake Placid,Bobsleigh,Bobsleigh,SUI,two-man,M,Silver,Switzerland,44.2856,-73.9833
1932,Lake Placid,Skating,Figure skating,SWE,individual,M,Silver,Sweden,44.2856,-73.9833
1932,Lake Placid,Skiing,Cross Country S,SWE,18km,M,Gold,Sweden,44.2856,-73.9833
1932,Lake Placid,Skiing,Cross Country S,SWE,18km,M,Silver,Sweden,44.2856,-73.9833
1932,Lake Placid,Bobsleigh,Bobsleigh,USA,four-man,M,Gold,United States,44.2856,-73.9833
1932,Lake Placid,Bobsleigh,Bobsleigh,USA,four-man,M,Silver,United States,44.2856,-73.9833
1932,Lake Placid,Bobsleigh,Bobsleigh,USA,two-man,M,Bronze,United States,44.2856,-73.9833
1932,Lake Placid,Bobsleigh,Bobsleigh,USA,two-man,M,Gold,United States,44.2856,-73.9833
1932,Lake Placid,Ice Hockey,Ice Hockey,USA,ice hockey,M,Silver,United States,44.2856,-73.9833
1932,Lake Placid,Skating,Figure skating,USA,individual,W,Bronze,United States,44.2856,-73.9833
1932,Lake Placid,Skating,Figure skating,USA,pairs,X,Silver,United States,44.2856,-73.9833
1932,Lake Placid,Skating,Speed skating,USA,10000m,M,Gold,United States,44.2856,-73.9833
1932,Lake Placid,Skating,Speed skating,USA,1500m,M,Gold,United States,44.2856,-73.9833
1932,Lake Placid,Skating,Speed skating,USA,5000m,M,Gold,United States,44.2856,-73.9833
1932,Lake Placid,Skating,Speed skating,USA,5000m,M,Silver,United States,44.2856,-73.9833
1932,Lake Placid,Skating,Speed skating,USA,500m,M,Gold,United States,44.2856,-73.9833
1936,Garmisch-Partenkirchen,Skating,Figure skating,AUT,individual,M,Bronze,Austria,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skating,Figure skating,AUT,individual,M,Gold,Austria,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skating,Figure skating,AUT,pairs,X,Silver,Austria,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skating,Speed skating,AUT,10000m,M,Bronze,Austria,47.4873,11.0982
1936,Garmisch-Partenkirchen,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Silver,Canada,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skating,Speed skating,FIN,10000m,M,Silver,Finland,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skating,Speed skating,FIN,1500m,M,Bronze,Finland,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skating,Speed skating,FIN,5000m,M,Bronze,Finland,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skating,Speed skating,FIN,5000m,M,Silver,Finland,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skiing,Cross Country S,FIN,18km,M,Bronze,Finland,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skiing,Cross Country S,FIN,4x10km relay,M,Gold,Finland,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skiing,Alpine Skiing,FRA,alpine combined,M,Bronze,France,47.4873,11.0982
1936,Garmisch-Partenkirchen,Bobsleigh,Bobsleigh,GBR,four-man,M,Bronze,United Kingdom,47.4873,11.0982
1936,Garmisch-Partenkirchen,Ice Hockey,Ice Hockey,GBR,ice hockey,M,Gold,United Kingdom,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skating,Figure skating,GBR,individual,W,Silver,United Kingdom,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skating,Figure skating,GER,individual,M,Silver,Germany,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skating,Figure skating,GER,pairs,X,Gold,Germany,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skiing,Alpine Skiing,GER,alpine combined,M,Gold,Germany,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skiing,Alpine Skiing,GER,alpine combined,M,Silver,Germany,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skiing,Alpine Skiing,GER,alpine combined,W,Gold,Germany,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skiing,Alpine Skiing,GER,alpine combined,W,Silver,Germany,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skating,Figure skating,HUN,pairs,X,Bronze,Hungary,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skating,Figure skating,NOR,individual,W,Gold,Norway,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skating,Speed skating,NOR,10000m,M,Gold,Norway,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skating,Speed skating,NOR,1500m,M,Gold,Norway,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skating,Speed skating,NOR,1500m,M,Silver,Norway,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skating,Speed skating,NOR,5000m,M,Gold,Norway,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skating,Speed skating,NOR,500m,M,Gold,Norway,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skating,Speed skating,NOR,500m,M,Silver,Norway,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skiing,Alpine Skiing,NOR,alpine combined,W,Bronze,Norway,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skiing,Cross Country S,NOR,18km,M,Silver,Norway,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skiing,Cross Country S,NOR,4x10km relay,M,Silver,Norway,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skiing,Nordic Combined,NOR,individual,M,Bronze,Norway,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skiing,Nordic Combined,NOR,individual,M,Gold,Norway,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skiing,Nordic Combined,NOR,individual,M,Silver,Norway,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Bronze,Norway,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Gold,Norway,47.4873,11.0982
1936,Garmisch-Partenkirchen,Bobsleigh,Bobsleigh,SUI,four-man,M,Gold,Switzerland,47.4873,11.0982
1936,Garmisch-Partenkirchen,Bobsleigh,Bobsleigh,SUI,four-man,M,Silver,Switzerland,47.4873,11.0982
1936,Garmisch-Partenkirchen,Bobsleigh,Bobsleigh,SUI,two-man,M,Silver,Switzerland,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skating,Figure skating,SWE,individual,W,Bronze,Sweden,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skiing,Cross Country S,SWE,18km,M,Gold,Sweden,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skiing,Cross Country S,SWE,4x10km relay,M,Bronze,Sweden,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skiing,Cross Country S,SWE,50km,M,Bronze,Sweden,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skiing,Cross Country S,SWE,50km,M,Gold,Sweden,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skiing,Cross Country S,SWE,50km,M,Silver,Sweden,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skiing,Ski Jumping,SWE,K90 individual (70m),M,Silver,Sweden,47.4873,11.0982
1936,Garmisch-Partenkirchen,Bobsleigh,Bobsleigh,USA,two-man,M,Bronze,United States,47.4873,11.0982
1936,Garmisch-Partenkirchen,Bobsleigh,Bobsleigh,USA,two-man,M,Gold,United States,47.4873,11.0982
1936,Garmisch-Partenkirchen,Ice Hockey,Ice Hockey,USA,ice hockey,M,Bronze,United States,47.4873,11.0982
1936,Garmisch-Partenkirchen,Skating,Speed skating,USA,500m,M,Bronze,United States,47.4873,11.0982
1948,St. Moritz,Skating,Figure skating,AUT,individual,M,Bronze,Austria,46.5,9.8333
1948,St. Moritz,Skating,Figure skating,AUT,individual,W,Silver,Austria,46.5,9.8333
1948,St. Moritz,Skiing,Alpine Skiing,AUT,alpine combined,W,Bronze,Austria,46.5,9.8333
1948,St. Moritz,Skiing,Alpine Skiing,AUT,alpine combined,W,Gold,Austria,46.5,9.8333
1948,St. Moritz,Skiing,Alpine Skiing,AUT,downhill,M,Silver,Austria,46.5,9.8333
1948,St. Moritz,Skiing,Alpine Skiing,AUT,downhill,W,Bronze,Austria,46.5,9.8333
1948,St. Moritz,Skiing,Alpine Skiing,AUT,downhill,W,Silver,Austria,46.5,9.8333
1948,St. Moritz,Skiing,Alpine Skiing,AUT,slalom,W,Bronze,Austria,46.5,9.8333
1948,St. Moritz,Bobsleigh,Bobsleigh,BEL,four-man,M,Silver,Belgium,46.5,9.8333
1948,St. Moritz,Skating,Figure skating,BEL,pairs,X,Gold,Belgium,46.5,9.8333
1948,St. Moritz,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Gold,Canada,46.5,9.8333
1948,St. Moritz,Skating,Figure skating,CAN,individual,W,Gold,Canada,46.5,9.8333
1948,St. Moritz,Skating,Figure skating,CAN,pairs,X,Bronze,Canada,46.5,9.8333
1948,St. Moritz,Skating,Speed skating,FIN,10000m,M,Bronze,Finland,46.5,9.8333
1948,St. Moritz,Skating,Speed skating,FIN,10000m,M,Silver,Finland,46.5,9.8333
1948,St. Moritz,Skiing,Cross Country S,FIN,4x10km relay,M,Silver,Finland,46.5,9.8333
1948,St. Moritz,Skiing,Cross Country S,FIN,50km,M,Bronze,Finland,46.5,9.8333
1948,St. Moritz,Skiing,Nordic Combined,FIN,individual,M,Gold,Finland,46.5,9.8333
1948,St. Moritz,Skiing,Nordic Combined,FIN,individual,M,Silver,Finland,46.5,9.8333
1948,St. Moritz,Skiing,Alpine Skiing,FRA,alpine combined,M,Bronze,France,46.5,9.8333
1948,St. Moritz,Skiing,Alpine Skiing,FRA,alpine combined,M,Gold,France,46.5,9.8333
1948,St. Moritz,Skiing,Alpine Skiing,FRA,downhill,M,Gold,France,46.5,9.8333
1948,St. Moritz,Skiing,Alpine Skiing,FRA,slalom,M,Bronze,France,46.5,9.8333
1948,St. Moritz,Skiing,Alpine Skiing,FRA,slalom,M,Silver,France,46.5,9.8333
1948,St. Moritz,Bobsleigh,Skeleton,GBR,individual,M,Bronze,United Kingdom,46.5,9.8333
1948,St. Moritz,Skating,Figure skating,GBR,individual,W,Bronze,United Kingdom,46.5,9.8333
1948,St. Moritz,Skating,Figure skating,HUN,pairs,X,Silver,Hungary,46.5,9.8333
1948,St. Moritz,Bobsleigh,Skeleton,ITA,individual,M,Gold,Italy,46.5,9.8333
1948,St. Moritz,Skating,Speed skating,NOR,1500m,M,Bronze,Norway,46.5,9.8333
1948,St. Moritz,Skating,Speed skating,NOR,1500m,M,Gold,Norway,46.5,9.8333
1948,St. Moritz,Skating,Speed skating,NOR,5000m,M,Gold,Norway,46.5,9.8333
1948,St. Moritz,Skating,Speed skating,NOR,5000m,M,Silver,Norway,46.5,9.8333
1948,St. Moritz,Skating,Speed skating,NOR,500m,M,Gold,Norway,46.5,9.8333
1948,St. Moritz,Skating,Speed skating,NOR,500m,M,Silver,Norway,46.5,9.8333
1948,St. Moritz,Skiing,Cross Country S,NOR,4x10km relay,M,Bronze,Norway,46.5,9.8333
1948,St. Moritz,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Bronze,Norway,46.5,9.8333
1948,St. Moritz,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Gold,Norway,46.5,9.8333
1948,St. Moritz,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Silver,Norway,46.5,9.8333
1948,St. Moritz,Bobsleigh,Bobsleigh,SUI,two-man,M,Gold,Switzerland,46.5,9.8333
1948,St. Moritz,Bobsleigh,Bobsleigh,SUI,two-man,M,Silver,Switzerland,46.5,9.8333
1948,St. Moritz,Ice Hockey,Ice Hockey,SUI,ice hockey,M,Bronze,Switzerland,46.5,9.8333
1948,St. Moritz,Skating,Figure skating,SUI,individual,M,Silver,Switzerland,46.5,9.8333
1948,St. Moritz,Skiing,Alpine Skiing,SUI,alpine combined,M,Silver,Switzerland,46.5,9.8333
1948,St. Moritz,Skiing,Alpine Skiing,SUI,downhill,M,Bronze,Switzerland,46.5,9.8333
1948,St. Moritz,Skiing,Alpine Skiing,SUI,downhill,M,Bronze,Switzerland,46.5,9.8333
1948,St. Moritz,Skiing,Alpine Skiing,SUI,downhill,W,Gold,Switzerland,46.5,9.8333
1948,St. Moritz,Skiing,Alpine Skiing,SUI,slalom,M,Gold,Switzerland,46.5,9.8333
1948,St. Moritz,Skiing,Alpine Skiing,SUI,slalom,W,Silver,Switzerland,46.5,9.8333
1948,St. Moritz,Skating,Speed skating,SWE,10000m,M,Gold,Sweden,46.5,9.8333
1948,St. Moritz,Skating,Speed skating,SWE,1500m,M,Silver,Sweden,46.5,9.8333
1948,St. Moritz,Skating,Speed skating,SWE,5000m,M,Bronze,Sweden,46.5,9.8333
1948,St. Moritz,Skiing,Cross Country S,SWE,18km,M,Bronze,Sweden,46.5,9.8333
1948,St. Moritz,Skiing,Cross Country S,SWE,18km,M,Gold,Sweden,46.5,9.8333
1948,St. Moritz,Skiing,Cross Country S,SWE,18km,M,Silver,Sweden,46.5,9.8333
1948,St. Moritz,Skiing,Cross Country S,SWE,4x10km relay,M,Gold,Sweden,46.5,9.8333
1948,St. Moritz,Skiing,Cross Country S,SWE,50km,M,Gold,Sweden,46.5,9.8333
1948,St. Moritz,Skiing,Cross Country S,SWE,50km,M,Silver,Sweden,46.5,9.8333
1948,St. Moritz,Skiing,Nordic Combined,SWE,individual,M,Bronze,Sweden,46.5,9.8333
1948,St. Moritz,Ice Hockey,Ice Hockey,TCH,ice hockey,M,Silver,Czechoslovakia,46.5,9.8333
1948,St. Moritz,Bobsleigh,Bobsleigh,USA,four-man,M,Bronze,United States,46.5,9.8333
1948,St. Moritz,Bobsleigh,Bobsleigh,USA,four-man,M,Gold,United States,46.5,9.8333
1948,St. Moritz,Bobsleigh,Bobsleigh,USA,two-man,M,Bronze,United States,46.5,9.8333
1948,St. Moritz,Bobsleigh,Skeleton,USA,individual,M,Silver,United States,46.5,9.8333
1948,St. Moritz,Skating,Figure skating,USA,individual,M,Gold,United States,46.5,9.8333
1948,St. Moritz,Skating,Speed skating,USA,500m,M,Silver,United States,46.5,9.8333
1948,St. Moritz,Skating,Speed skating,USA,500m,M,Silver,United States,46.5,9.8333
1948,St. Moritz,Skiing,Alpine Skiing,USA,alpine combined,W,Silver,United States,46.5,9.8333
1948,St. Moritz,Skiing,Alpine Skiing,USA,slalom,W,Gold,United States,46.5,9.8333
1952,Oslo,Skating,Figure skating,AUT,individual,M,Silver,Austria,59.9137,10.7529
1952,Oslo,Skiing,Alpine Skiing,AUT,downhill,M,Bronze,Austria,59.9137,10.7529
1952,Oslo,Skiing,Alpine Skiing,AUT,downhill,M,Silver,Austria,59.9137,10.7529
1952,Oslo,Skiing,Alpine Skiing,AUT,downhill,W,Gold,Austria,59.9137,10.7529
1952,Oslo,Skiing,Alpine Skiing,AUT,giant slalom,M,Bronze,Austria,59.9137,10.7529
1952,Oslo,Skiing,Alpine Skiing,AUT,giant slalom,M,Silver,Austria,59.9137,10.7529
1952,Oslo,Skiing,Alpine Skiing,AUT,giant slalom,W,Silver,Austria,59.9137,10.7529
1952,Oslo,Skiing,Alpine Skiing,AUT,slalom,M,Gold,Austria,59.9137,10.7529
1952,Oslo,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Gold,Canada,59.9137,10.7529
1952,Oslo,Skating,Speed skating,CAN,500m,M,Bronze,Canada,59.9137,10.7529
1952,Oslo,Skiing,Cross Country S,FIN,10km,W,Bronze,Finland,59.9137,10.7529
1952,Oslo,Skiing,Cross Country S,FIN,10km,W,Gold,Finland,59.9137,10.7529
1952,Oslo,Skiing,Cross Country S,FIN,10km,W,Silver,Finland,59.9137,10.7529
1952,Oslo,Skiing,Cross Country S,FIN,18km,M,Bronze,Finland,59.9137,10.7529
1952,Oslo,Skiing,Cross Country S,FIN,18km,M,Silver,Finland,59.9137,10.7529
1952,Oslo,Skiing,Cross Country S,FIN,4x10km relay,M,Gold,Finland,59.9137,10.7529
1952,Oslo,Skiing,Cross Country S,FIN,50km,M,Gold,Finland,59.9137,10.7529
1952,Oslo,Skiing,Cross Country S,FIN,50km,M,Silver,Finland,59.9137,10.7529
1952,Oslo,Skiing,Nordic Combined,FIN,individual,M,Silver,Finland,59.9137,10.7529
